Mountain,Route,Mileage,Elevation,Route Time
Castle Peak,Northeast Ridge,13.00 mi,4600',32400
Quandary Peak,East Ridge,6.00 mi,3750',18000
Mt. Evans,Northeast Face,3.00 mi,1475',6600
Handies Peak,Southwest Slopes,5.00 mi,-,10800
"Group: Belford, Oxford, Missouri",missouri northwest route,10.00 mi,-,18000
Uncompahgre Peak,South Ridge,7.00 mi,3000',16800
Handies Peak,East Slopes,7.00 mi,2800',22800
Mt. Bierstadt,West Slopes,7.00 mi,2759',17485
Maroon Peak,South Ridge,12.00 mi,4500',32400
Crestone Needle,South Face,12.00 mi,4400',25200
Longs Peak,Keyhole Route,-,1519',22200
Mt. Wilson,Kilpacker Approach,12.00 mi,4400',36879
"Group: Belford, Oxford, Missouri",Missouri,14.00 mi,7400',41400
"Group: Challenger, Kit Carson, Crestones, Humboldt",Crestone Group Traverse,19.00 mi,9239',31245
Mt. Massive,East Slopes,13.00 mi,4369',22500
Longs Peak,Keyhole Route,14.00 mi,5142',41400
Mt. Elbert,Northeast Ridge,9.00 mi,4700',12600
Mt. Elbert,Northeast Ridge,9.00 mi,4700',20280
Mt. Princeton,East Slopes,8.00 mi,3597',17100
Huron Peak,Northwest Slopes,8.00 mi,3400',36000
Mt. Princeton,East Slopes,7.00 mi,3396',11880
Torreys Peak,South Slopes,-,-,13500
Wilson Peak,Southwest Ridge,10.00 mi,3800',26400
Handies Peak,Southwest Slopes,6.00 mi,2484',21600
Mt. Sherman,West Slopes from Iowa Gulch,4.00 mi,1973',12600
"Group: Grays, Torreys",Standard combo,8.00 mi,3427',25390
Mt. Elbert,Northeast Ridge,9.00 mi,4156',28800
"Group: Democrat, Cameron, Lincoln, Bross",Standard combo,9.00 mi,3644',29405
"Group: Shavano, Tabeguache",Tab West Ridge,13.00 mi,5800',29580
Mt. Princeton,East Slopes,13.00 mi,5400',26880
Mt. Antero,West Slopes,16.00 mi,5200',21300
Huron Peak,North Ridge from Lulu Gulch,11.00 mi,4500',21000
"Group: Belford, Oxford, Missouri",Belford Oxford NW Ridge Missouri,17.00 mi,8600',39600
La Plata Peak,Northwest Ridge,9.00 mi,4500',22200
Mt. Elbert,Northeast Ridge,9.00 mi,4700',20700
Grays Peak,North Slopes,8.00 mi,3874',22246
Torreys Peak,Kelso Ridge,7.00 mi,3877',19706
Ellingwood Point,North Ridge via South Zapata Creek,-,-,44100
Mt. Massive,East Slopes,8.00 mi,4000',18600
Mt. of the Holy Cross,North Ridge,12.00 mi,5600',24300
Crestone Peak,South Face,20.00 mi,6850',43080
"Group: Grays, Torreys",Stephens Gulch Trail,8.00 mi,3314',17400
Pikes Peak,Rumdoodle Ridge,25.00 mi,8000',25011
"Group: Castle, Conundrum",Combo,14.00 mi,4850',23400
Mt. Shavano,East Slopes,9.00 mi,4404',17051
La Plata Peak,Ellingwood Ridge,9.00 mi,5900',42585
Missouri Mountain,Northwest Ridge,10.00 mi,4500',23700
"Group: Evans, Sawtooth, Bierstadt",Tour de Abyss,5.00 mi,3337',29760
"Group: Grays, Torreys",Grays then torreys,11.00 mi,3600',18000
Mt. Bierstadt,West Slopes,7.00 mi,2800',7363
Missouri Mountain,Northwest Ridge,10.00 mi,4500',23700
Mt. Bierstadt,West Slopes,7.00 mi,2775',7156
San Luis Peak,Northeast Ridge,13.00 mi,3614',25200
Tabeguache Peak,West Ridge,12.00 mi,4000',43200
Mt. Princeton,East Slopes,8.00 mi,2800',24900
Mt. Antero,West Slopes,16.00 mi,3469',41580
Longs Peak,Keyhole Route,13.00 mi,5200',14931
Ridge Traverse: Maroon Bells,North Maroon,-,-,23400
Quandary Peak,East Ridge,-,-,6660
Challenger Point,North Slope,13.00 mi,5500',20507
"Ridge Traverse: Little Bear, Blanca",Little Bear to Blanca Traverse,-,-,5400
Mt. Sneffels,Southwest Ridge,3.00 mi,1700',10800
Quandary Peak,East Ridge,6.00 mi,3450',20220
"Group: Evans, Sawtooth, Bierstadt",Guanella Pass,12.00 mi,4000',33600
Mt. Bierstadt,West Slopes,7.00 mi,2850',17813
Snowmass Mountain,East Slopes,22.00 mi,5800',44880
"Group: Belford, Oxford",Combo,11.00 mi,6000',33900
"Group: Grays, Torreys",Standard Combo,9.00 mi,3600',28380
Torreys Peak,South Slopes,-,-,21600
Torreys Peak,Kelso Ridge,7.00 mi,4485',24253
Pikes Peak,Northwest Slopes,13.00 mi,4239',11212
"Group: Shavano, Tabeguache",Combo,11.00 mi,5600',29700
Grays Peak,Southwest Ridge,6.00 mi,3100',13800
Mt. of the Holy Cross,North Ridge,11.00 mi,5642',15900
"Group: Democrat, Cameron, Lincoln, Bross",Combo Democrat Cameron Lincoln Bross,7.00 mi,3500',17940
La Plata Peak,Ellingwood Ridge,9.00 mi,5900',45480
Mt. Massive,Southwest Slopes,8.00 mi,4100',23400
La Plata Peak,Northwest Ridge,9.00 mi,4500',23760
"Group: Shavano, Tabeguache",Shavano and Tabeguache,11.00 mi,5600',31080
"Group: Belford, Oxford",Belford and Oxford,11.00 mi,6000',29460
Uncompahgre Peak,South Ridge,7.00 mi,3000',11423
Mt. Harvard,South Slopes,14.00 mi,4600',35100
"Group: Grays, Torreys",South Ridge,8.00 mi,5500',15300
Pyramid Peak,Northeast Ridge,9.00 mi,4146',31320
Handies Peak,East Slopes,8.00 mi,3650',13680
Wilson Peak,Southwest Ridge,16.00 mi,5000',33960
Mt. Sneffels,South Slopes,6.00 mi,2900',15420
Mt. Antero,West Slopes,7.00 mi,2614',12540
Maroon Peak,South Ridge,10.00 mi,4846',33600
"Group: Castle, Conundrum",NE Ridge,8.00 mi,3496',26400
Pyramid Peak,Northeast Ridge,-,-,28800
"Group: Castle, Conundrum",Castles Northeast Ridge,8.00 mi,3350',18000
Mt. Elbert,Northeast Ridge,14.00 mi,4443',25200
Longs Peak,Keyhole Route,15.00 mi,5100',100800
Quandary Peak,East Ridge,8.00 mi,3280',26100
Mt. Bierstadt,West Slopes,7.00 mi,2850',13920
Pikes Peak,Northwest Slopes,14.00 mi,4300',23820
Mt. Lindsey,Northwest Gully,10.00 mi,3500',37380
Mt. Democrat,East Slope,-,2500',18000
La Plata Peak,Northwest Ridge,9.00 mi,4500',39600
"Group: Democrat, Cameron, Lincoln, Bross",Mosquito Traverse,7.00 mi,3700',20700
La Plata Peak,Northwest Ridge,9.00 mi,4500',25200
Mt. Bierstadt,East Ridge,7.00 mi,2850',12000
Mt. Shavano,East Slopes,9.00 mi,4600',21600
Quandary Peak,East Ridge,6.00 mi,3450',19800
Mt. Elbert,Northeast Ridge,9.00 mi,4700',21600
Windom Peak,West Ridge,5.00 mi,3000',21600
Longs Peak,Keyhole Route,15.00 mi,5100',33000
Grays Peak,North Slopes,8.00 mi,3000',22500
Longs Peak,Loft Route,13.00 mi,5300',37140
"Group: Grays, Torreys",1st ever 14ers: Grays and Torreys,8.00 mi,3560',20277
Humboldt Peak,West Ridge,4.00 mi,2415',14400
Pyramid Peak,Northeast Ridge,8.00 mi,4500',25335
Mt. Antero,West Slopes,9.00 mi,3000',14819
Uncompahgre Peak,South Ridge,7.00 mi,3000',12960
Redcloud Peak,Northeast Ridge,9.00 mi,3700',24000
Mt. Sherman,Southwest Ridge,5.00 mi,2169',15240
Ridge Traverse: Maroon Bells,South to North,9.00 mi,4850',36900
"Group: Maroon, North Maroon",Bells Traverse S to N,9.00 mi,4850',36900
Missouri Mountain,Northwest Ridge,11.00 mi,4662',11360
Quandary Peak,East Ridge,8.00 mi,3450',13080
North Maroon Peak,Northeast Ridge,-,-,34200
"Group: Democrat, Cameron, Lincoln, Bross",DeCaLiBro Counter Clockwise,11.00 mi,4250',16500
Mt. Sherman,Southwest Ridge,5.00 mi,2000',12600
Mt. Elbert,East Ridge,12.00 mi,4888',31500
Mt. Democrat,East Slope,4.00 mi,2034',27600
"Group: Democrat, Cameron, Lincoln, Bross",Decalibron,7.00 mi,3700',18780
Mt. Massive,Southwest Slopes,8.00 mi,3950',23400
Mt. Massive,East Slopes,13.00 mi,4600',17040
Maroon Peak,Bells Traverse,12.00 mi,5500',46800
Mt. of the Holy Cross,Halo Ridge,13.00 mi,5420',31200
Mt. Lindsey,Northwest Ridge,8.00 mi,3500',20400
Snowmass Mountain,West Slope,9.00 mi,4500',34800
Longs Peak,Keyhole Route,15.00 mi,5000',36000
Mt. Lincoln,West Ridge,6.00 mi,2600',25080
Longs Peak,Keyhole Route,14.00 mi,5100',28020
North Maroon Peak,Northeast Ridge,9.00 mi,4500',27753
Mt. Sherman,West Slopes from Iowa Gulch,4.00 mi,2201',4960
"Group: Belford, Oxford, Missouri",Standard for Belford and Oxford. Elkhead pass to Missouri South Ridge,14.00 mi,7400',27300
Uncompahgre Peak,South Ridge,7.00 mi,2839',18000
Mt. Antero,West Slopes,10.00 mi,3419',18000
"Group: Democrat, Cameron, Lincoln, Bross",Standard Clockwise,7.00 mi,3600',11700
Maroon Peak,South Ridge,18.00 mi,7000',43200
Tabeguache Peak,West Ridge,8.00 mi,4000',25200
Snowmass Mountain,East Slopes,23.00 mi,6200',33900
Mt. Bierstadt,West Slopes,7.00 mi,2850',27000
Quandary Peak,West Ridge,7.00 mi,3500',22980
Mt. Shavano,East Slopes,9.00 mi,-,24300
"Group: Grays, Torreys",Kelso Ridge,8.00 mi,3600',25260
"Group: Evans, Sawtooth, Bierstadt",Sawtooth ridge,10.00 mi,3900',32580
Mt. Evans,West Ridge from Summit Lake,5.00 mi,2000',14400
Longs Peak,Keyhole Route,14.00 mi,5100',21840
Torreys Peak,Emperor Couloir,6.00 mi,3737',30766
Mt. Bierstadt,West Slopes,7.00 mi,3195',15210
"Group: Evans, Sawtooth, Bierstadt",Tour de Abyss,5.00 mi,3000',15120
Longs Peak,Keyhole Route,14.00 mi,5100',23930
Longs Peak,Keyhole Route,14.00 mi,5100',32880
Humboldt Peak,West Ridge,11.00 mi,4880',30060
Mt. Yale,East Ridge,10.00 mi,5000',28800
"Group: Crestone Peak, Crestone Needle",South Faces,17.00 mi,8041',172800
Grays Peak,South Ridge,-,3250',15300
La Plata Peak,Northwest Ridge,9.00 mi,4500',14460
Mt. Elbert,Northeast Ridge,9.00 mi,4700',19800
Mt. Sherman,Southwest Ridge,5.00 mi,2100',15684
Mt. Belford,Missouri Gulch,8.00 mi,4600',21600
Mt. Sherman,Southwest Ridge,5.00 mi,2100',16740
Longs Peak,Keyhole Route,15.00 mi,5100',26880
"Group: Grays, Torreys",Standard from Bakerville,14.00 mi,4370',16980
Little Bear Peak,West Ridge and Southwest Face,14.00 mi,6200',51867
La Plata Peak,Southwest Ridge,7.00 mi,3640',22800
Mt. of the Holy Cross,North Ridge,11.00 mi,-,30120
Maroon Peak,South Ridge,12.00 mi,5213',19740
Capitol Peak,Northeast Ridge,17.00 mi,5300',100800
Mt. of the Holy Cross,North Ridge,12.00 mi,5100',27900
"Group: Harvard, Columbia",Combo,16.00 mi,6000',45000
Mt. of the Holy Cross,Halo Ridge,15.00 mi,5400',36600
Mt. Antero,West Slopes,8.00 mi,3077',17400
Mt. Princeton,East Slopes,7.00 mi,3031',14400
Wetterhorn Peak,Southeast Ridge,12.00 mi,4000',26700
San Luis Peak,South Ridge,11.00 mi,3700',22800
"Group: Grays, Torreys",Standard Combo,8.00 mi,3600',14280
Mt. Antero,From Browns Creek,13.00 mi,5416',30240
Humboldt Peak,West Ridge,11.00 mi,4200',30180
"Group: Grays, Torreys",Grays and Torreys,9.00 mi,4000',27000
Quandary Peak,East Ridge,7.00 mi,3235',14880
"Group: Democrat, Cameron, Lincoln, Bross",Group,9.00 mi,3700',32400
Huron Peak,Northwest Slopes,11.00 mi,3700',27900
Mt. Wilson,Southwest Slopes,12.00 mi,4400',25531
Handies Peak,Southwest Slopes,5.00 mi,2500',5700
Mt. Sneffels,South Slopes,6.00 mi,2900',8340
"Group: Harvard, Columbia",Harvard Columbia Traverse,15.00 mi,5937',22260
"Group: Grays, Torreys",Grays and Torreys,8.00 mi,3600',19440
Torreys Peak,Kelso Ridge,6.00 mi,3000',21600
"Group: Harvard, Columbia",Harvard to Columbia Traverse,15.00 mi,6100',38580
Mt. Shavano,East Slopes,9.00 mi,4455',26100
El Diente Peak,South Slopes,12.00 mi,4300',26879
Torreys Peak,Kelso Ridge,6.00 mi,3100',16380
Huron Peak,Northwest Slopes,7.00 mi,3403',16200
Snowmass Mountain,South Ridge,6.00 mi,3025',23880
"Group: Grays, Torreys",Kelso Ridge,8.00 mi,3600',14870
Mt. Princeton,East Slopes,14.00 mi,5400',34200
Huron Peak,Northwest Slopes,11.00 mi,3850',20100
Ellingwood Point,South Face,17.00 mi,6200',35100
Mt. Bierstadt,West Slopes,7.00 mi,2785',10335
Uncompahgre Peak,South Ridge,7.00 mi,2940',16200
"Group: Belford, Oxford",Missouri Gulch standard,11.00 mi,6000',28800
Mt. Elbert,Northeast Ridge,9.00 mi,4700',15180
Handies Peak,Southwest Slopes,6.00 mi,2554',14880
Mt. Massive,East Slopes,14.00 mi,4500',25860
Mt. of the Holy Cross,Halo Ridge,15.00 mi,5100',16740
Mt. Bierstadt,West Slopes,7.00 mi,2850',19800
Mt. Sneffels,South Slopes,6.00 mi,2900',21600
Mt. Massive,East Slopes,14.00 mi,4600',41400
"Group: Belford, Oxford",Standard route,11.00 mi,5800',34200
Missouri Mountain,Northwest Ridge,11.00 mi,4500',25200
Huron Peak,Northwest Slopes,6.00 mi,3500',16200
Handies Peak,Southwest Slopes,5.00 mi,2500',12600
La Plata Peak,Southwest Ridge,7.00 mi,3380',25200
"Group: Redcloud, Sunshine",Standard route,12.00 mi,4700',30600
Mt. of the Holy Cross,North Ridge,12.00 mi,5600',34200
Mt. Columbia,West Slopes,12.00 mi,4250',29520
Mt. Princeton,East Slopes,7.00 mi,3600',27660
"Group: Shavano, Tabeguache",Standard route,11.00 mi,5600',36600
Quandary Peak,East Ridge,6.00 mi,3450',15060
"Group: Shavano, Tabeguache",Standard,11.00 mi,5413',25500
Mt. Elbert,Northeast Ridge,9.00 mi,4700',21480
Missouri Mountain,Northwest Ridge,11.00 mi,4500',22800
Mt. Sherman,Southwest Ridge,4.00 mi,1925',4780
La Plata Peak,Northwest Ridge,9.00 mi,4500',28380
Mt. Harvard,South Slopes,-,-,22500
Mt. Antero,From Browns Creek,14.00 mi,4819',18600
Mt. Lindsey,Northwest Ridge,7.00 mi,3713',32760
Humboldt Peak,West Ridge,10.00 mi,4199',36000
"Group: Shavano, Tabeguache",Shavano trail,11.00 mi,5500',23400
Mt. Belford,Northwest Ridge,8.00 mi,4570',23340
"Group: Belford, Oxford",Mt Oxford  Via Mt Belford,11.00 mi,5809',23776
Missouri Mountain,Northwest Ridge,10.00 mi,4500',25380
La Plata Peak,Southwest Ridge,7.00 mi,3474',22560
Mt. Harvard,South Slopes,13.00 mi,4540',23400
Quandary Peak,East Ridge,6.00 mi,3450',15300
Capitol Peak,Northeast Ridge,17.00 mi,5500',48660
"Group: Grays, Torreys",Grays and Torreys standard route,8.00 mi,3600',25200
"Group: Uncompahgre, Wetterhorn",S. Ridge SE Ridge,18.00 mi,6009',18073
Mt. Shavano,East Slopes,9.00 mi,5147',28471
"Group: Democrat, Cameron, Lincoln, Bross",BroLiCaDem,7.00 mi,3412',23580
Mt. Bierstadt,West Slopes,5.00 mi,2850',17100
Quandary Peak,East Ridge,6.00 mi,3450',19500
"Group: Shavano, Tabeguache",Tabeguache Peak Via Mt. Shavano,11.00 mi,5277',30000
Mt. Elbert,Northeast Ridge,9.00 mi,4700',13980
Mt. Elbert,Northeast Ridge,9.00 mi,4700',25560
Mt. Bierstadt,West Slopes,-,-,17100
"Group: Blanca, Ellingwood",traverse from 8000ft on road,18.00 mi,6800',40800
Grays Peak,Grays and Torreys,8.00 mi,3612',20340
Mt. Yale,East Ridge,10.00 mi,5000',36900
Mt. Yale,Southwest Slopes,9.00 mi,4300',25200
Huron Peak,Northwest Slopes,10.00 mi,3800',24120
Handies Peak,East Slopes,7.00 mi,3648',16320
Mt. Sherman,West Slopes from Iowa Gulch,6.00 mi,2769',19440
Culebra Peak,Northwest Ridge,5.00 mi,2700',7200
Mt. Columbia,West Slopes,11.00 mi,4250',23400
Mt. Princeton,East Slopes,13.00 mi,5400',28980
"Group: Challenger, Kit Carson",N. Ridge,14.00 mi,5741',24563
Mt. Elbert,Northeast Ridge,9.00 mi,4700',19500
Tabeguache Peak,Via Mt. Shavano,1.00 mi,1000',6720
Mt. Shavano,East Slopes,9.00 mi,4600',16500
Mt. Antero,West Slopes,16.00 mi,5200',27000
Huron Peak,Northwest Slopes,10.00 mi,3800',16320
Mt. Yale,Southwest Slopes,9.00 mi,4247',30231
Quandary Peak,East Ridge,6.00 mi,3450',11580
Mt. Yale,Southwest Slopes,9.00 mi,4751',25320
Huron Peak,Northwest Slopes,6.00 mi,3500',22860
Mt. Elbert,East Ridge,10.00 mi,4117',25620
Mt. Elbert,Northeast Ridge,-,4700',22500
Mt. Yale,Southwest Slopes,9.00 mi,4300',16740
Mt. Antero,West Slopes,16.00 mi,5200',27000
Pikes Peak,Northwest Slopes,18.00 mi,6000',19237
Mt. Massive,East Slopes,13.00 mi,4659',27000
Blanca Peak,Northwest Ridge,14.00 mi,5200',42300
"Group: Democrat, Cameron, Lincoln, Bross",Decalibron,8.00 mi,4200',18480
Mt. Elbert,Southeast Ridge,10.00 mi,5026',31500
Humboldt Peak,East Ridge,13.00 mi,5650',39600
Tabeguache Peak,West Ridge,7.00 mi,4006',12445
Mt. Antero,From Browns Creek,15.00 mi,6047',25191
Humboldt Peak,East Ridge,13.00 mi,5650',37980
"Group: Grays, Torreys",Kelso Ridge to Torreys West Ridge to Loveland Pass,13.00 mi,6230',41083
Torreys Peak,Kelso Ridge,12.00 mi,4452',28318
Snowmass Mountain,East Slopes,22.00 mi,6013',83412
Handies Peak,East Slopes,8.00 mi,3700',24900
"Group: Redcloud, Sunshine",Silver Creek standard route,-,-,21600
"Group: Uncompahgre, Wetterhorn",combo from 2wd Matterhorn Creek TH,20.00 mi,6800',36000
Pikes Peak,Northwest Slopes,14.00 mi,5043',22565
"Group: Blanca, Ellingwood",Traverse,18.00 mi,6800',129600
"Group: Shavano, Tabeguache",Angel of Shavano,10.00 mi,5800',27748
Quandary Peak,East Ridge,6.00 mi,3450',17350
"Group: Grays, Torreys",Kelso Ridge,8.00 mi,3600',19145
Longs Peak,Keyhole Route,-,-,25512
Mt. Sherman,South Slope,9.00 mi,3400',16920
Quandary Peak,East Ridge,7.00 mi,3500',6319
Quandary Peak,East Ridge,6.00 mi,3400',11400
Quandary Peak,East Ridge,7.00 mi,3450',38700
"Group: Democrat, Cameron, Lincoln, Bross",BroLinCam,6.00 mi,2612',25200
"Group: Democrat, Cameron, Lincoln, Bross",DeCaLi,7.00 mi,3124',32400
Mt. Sherman,Southwest Ridge,4.00 mi,2036',12000
Mt. Sherman,West Slopes from Iowa Gulch,2.00 mi,2152',6459
"Group: Grays, Torreys",Torreys/Grays,8.00 mi,3389',10125
Longs Peak,Keyhole Route,14.00 mi,5860',13262
Grays Peak,North Slopes,13.00 mi,4500',23100
Quandary Peak,East Ridge,6.00 mi,3602',18705
Mt. Sherman,Southwest Ridge,9.00 mi,3196',30824
Mt. Belford,Northwest Ridge,6.00 mi,4646',35905
Humboldt Peak,East Ridge,8.00 mi,4505',17374
Culebra Peak,Northwest Ridge,14.00 mi,5500',40500
"Group: Shavano, Tabeguache",Shavano Tab Duet,9.00 mi,5400',18660
Pikes Peak,Northwest Slopes,4.00 mi,1463',11040
Uncompahgre Peak,South Ridge,7.00 mi,3084',15117
Snowmass Mountain,East Slopes,22.00 mi,5800',36974
Mt. Princeton,Southwest Ridge,7.00 mi,5219',22556
Mt. Lindsey,Northwest Ridge,8.00 mi,3500',21600
Culebra Peak,culebra and red mt,9.00 mi,4100',18300
"Group: Evans, Sawtooth, Bierstadt",B sawtooth E,12.00 mi,4340',24120
"Group: Grays, Torreys",stevens gulch traverse,15.00 mi,6300',30720
Quandary Peak,West Ridge,9.00 mi,3533',17640
Longs Peak,Loft Route,15.00 mi,5154',24840
"Group: Grays, Torreys",70 T G 70,15.00 mi,4826',19920
"Group: Maroon, North Maroon",S to N Traverse,13.00 mi,5656',36360
Snowmass Mountain,East Slopes,24.00 mi,6000',39600
"Group: Grays, Torreys",70 T G 70,14.00 mi,5100',12420
Uncompahgre Peak,South Ridge,8.00 mi,4000',19800
Mt. Sherman,West Slopes from Iowa Gulch,4.00 mi,2356',10020
Mt. Elbert,Northeast Ridge,9.00 mi,4700',25200
La Plata Peak,Northwest Ridge,9.00 mi,4336',27000
Huron Peak,Northwest Slopes,7.00 mi,3500',25200
Pikes Peak,pike2,26.00 mi,7300',52560
"Group: Belford, Oxford",Belford/Oxford w return via Elkhead Pass,13.00 mi,5300',39420
Missouri Mountain,Northwest Ridge,10.00 mi,4417',32040
Mt. Yale,Southwest Slopes,9.00 mi,4296',32400
Mt. of the Holy Cross,North Ridge,12.00 mi,5683',41040
Mt. Harvard,South Slopes,13.00 mi,4250',39180
Mt. Columbia,West Slopes,11.00 mi,4173',40200
Mt. Shavano,East Slopes,9.00 mi,4600',30600
Longs Peak,Keyhole Route,15.00 mi,5100',59580
Mt. Elbert,Northeast Ridge,9.00 mi,4354',27000
"Group: Shavano, Tabeguache",East Slopes,11.00 mi,5342',20099
Mt. Yale,East Ridge,11.00 mi,5400',23960
Blanca Peak,Northwest Ridge,16.00 mi,6468',17220
Quandary Peak,East Ridge,6.00 mi,3450',25200
"Group: Redcloud, Sunshine",Standard,12.00 mi,4800',25200
Mt. Harvard,South Slopes,14.00 mi,4600',30600
Huron Peak,Northwest Slopes,6.00 mi,3287',13709
Mt. Bierstadt,West Slopes,-,-,17100
Mt. Elbert,Northeast Ridge,9.00 mi,4700',19800
Longs Peak,Keyhole Route,14.00 mi,5200',16440
Quandary Peak,East Ridge,7.00 mi,3450',15600
Longs Peak,Keyhole Route,14.00 mi,5100',35100
Pikes Peak,pike2,14.00 mi,7600',36000
Tabeguache Peak,Via Mt. Shavano,11.00 mi,5600',32400
Mt. Evans,West Ridge from Summit Lake,6.00 mi,2000',12600
Humboldt Peak,West Ridge,11.00 mi,4114',39720
Capitol Peak,NE Ridge from Trailhead,17.00 mi,5300',45000
Sunshine Peak,Via Redcloud Peak,10.00 mi,5000',21900
Pikes Peak,Manitou Incline,1.00 mi,1900',2340
"Group: Redcloud, Sunshine",NE Ridge Redcloud Sunshine Sundog,10.00 mi,5000',21900
Redcloud Peak,NE Ridge Redcloud Sunshine Sundog,10.00 mi,5000',21900
"Group: Democrat, Cameron, Lincoln, Bross",Main trail head,-,-,27000
Mt. Evans,West Ridge from Summit Lake,5.00 mi,2000',15300
Uncompahgre Peak,South Ridge,15.00 mi,5505',21900
Huron Peak,Northwest Slopes,6.00 mi,3400',5804
Longs Peak,Keyhole Route,-,-,52200
Mt. Yale,East Ridge,-,5000',28800
Mt. Bierstadt,West Slopes,-,-,18000
"Group: Grays, Torreys",Combo Grays and Torreys,8.00 mi,3600',18600
Missouri Mountain,Northwest Ridge,10.00 mi,4500',21600
Mt. Massive,Southwest Slopes,8.00 mi,3950',18600
Mt. Sherman,Southwest Ridge,4.00 mi,2100',10800
"Group: Democrat, Cameron, Lincoln, Bross",Democrat Cameron Lincoln Bross Combo,7.00 mi,3700',22200
Quandary Peak,East Ridge,6.00 mi,3450',18600
Mt. Bierstadt,West Slopes,7.00 mi,2850',19800
"Group: Grays, Torreys",Kelso Ridge And Combo Greys Torreys,-,-,25200
Mt. Bierstadt,West Slopes,7.00 mi,2682',6857
Wilson Peak,Rock of Ages Approach,10.00 mi,3800',27780
Mt. Yale,Southwest Slopes,9.00 mi,4337',22020
San Luis Peak,Northeast Ridge,13.00 mi,4371',17700
Missouri Mountain,Northwest Ridge,10.00 mi,4500',20100
Quandary Peak,East Ridge,6.00 mi,3450',8338
"Group: Belford, Oxford",standard,12.00 mi,6426',28500
Pyramid Peak,Northeast Ridge,11.00 mi,4855',35400
San Luis Peak,Northeast Ridge,13.00 mi,3600',30000
Pikes Peak,Northwest Slopes,-,-,21600
Huron Peak,Northwest Slopes,6.00 mi,3500',17100
La Plata Peak,Northwest Ridge,10.00 mi,4170',30060
"Group: Challenger, Kit Carson",Challenger North Slope w/ KC Combo,15.00 mi,6310',45000
Quandary Peak,East Ridge,-,-,32400
Grays Peak,North Slopes,8.00 mi,3000',21300
Pikes Peak,Northwest Slopes,13.00 mi,4250',15420
"Group: Shavano, Tabeguache",Standard,12.00 mi,5359',30493
Mt. Yale,Southwest Slopes,9.00 mi,4100',22500
Longs Peak,Keyhole Route,14.00 mi,5100',29700
"Group: Democrat, Cameron, Lincoln, Bross",Democrat Cameron Lincoln,7.00 mi,3298',26100
Handies Peak,East Slopes,8.00 mi,3650',23400
